cat,value,SOIL_ID,NDVI_MEAN,DEM_ADJ,ROUGH_MEAN,SLOPE_MEAN,SLOPE_VAR,PLANCURV,POU_WAM,R_Index,label,is_prototype,similarity,reliability_positive,reliability_negative
176,2458,200,-1.143629267,-1.364701289,-1.396766803,-0.135242511,10.01142321,1.299363461,0.316723505,0.241722897,0,0,0.415567754,0.415567754,0.584432246
2245,7961,510,-1.10607485,1.10851939,1.648757797,0.11233308,20.07764996,-0.047072328,0.103769825,1.222687565,0,0,0.382697905,0.382697905,0.617302095
3767,5863,200,-0.401233607,0.889455893,1.856170022,2.996100494,20.03678869,-0.871415266,-2.746318134,-0.956811221,0,0,0.209147318,0.209147318,0.790852682
4609,7041,510,-2.254166752,2.05605608,0.571838464,0.602247511,17.1065687,-0.135694779,1.196547596,1.646254547,0,0,0.4008526,0.4008526,0.5991474
4272,4323,191,1.224335679,-0.368508758,0.706281159,0.235555164,17.74266672,-0.985698253,-1.595781684,-0.359294002,0,0,0.374287989,0.374287989,0.625712011
1323,8464,200,-0.800546271,1.026326581,-1.468416796,-1.892466171,9.775911691,0.269145312,-0.07998499,-0.522656808,0,0,0.383672726,0.383672726,0.616327274
5499,9857,200,-0.586425089,0.659536287,-0.194773621,-0.131930882,14.43947647,1.11426632,-0.264238602,0.171386225,0,0,0.432359151,0.432359151,0.567640849
2217,8280,200,0.041677555,0.500913891,0.98429019,1.210129553,18.58119092,-0.54563169,0.681535066,0.013262351,0,0,0.434188078,0.434188078,0.565811922
1225,3185,191,0.883697557,-0.010159808,-0.879629102,-1.327242556,12.02888042,1.263793906,-0.883090832,0.314496863,0,0,0.268530041,0.268530041,0.731469959
4391,5612,510,-2.563124762,2.076209767,0.275235815,0.139258971,16.19794185,-0.626670924,-0.026383504,1.901099111,0,0,0.368843769,0.368843769,0.631156231
4548,6618,200,0.737826213,0.049858212,1.889866819,-0.570977901,21.25840709,-0.453003926,-0.19898235,1.769881985,0,0,0.309150094,0.309150094,0.690849906
3552,4872,510,-1.310892403,-0.055261367,-0.332498641,-1.269727592,14.12008736,-0.274687125,0.739289256,-1.26798415,0,0,0.434034043,0.434034043,0.565965957
4067,5489,510,-1.795131788,1.984047342,0.600072668,-0.897859416,17.06884818,-0.029056365,-0.060910723,1.087320896,0,0,0.374602871,0.374602871,0.625397129
3757,5770,510,-0.824790333,1.128007119,1.57515487,1.814225517,20.37445846,0.605205536,0.292413324,0.070821223,0,0,0.325714715,0.325714715,0.674285285
5382,7228,200,-1.18376428,1.068605596,0.501923238,0.10117006,16.86140997,0.921378401,0.513974496,0.001506596,0,0,0.421088541,0.421088541,0.578911459
3342,5020,510,-1.200515477,1.306241085,1.849406062,0.882492679,21.2134257,0.393878671,0.067565782,1.168188166,0,0,0.358204617,0.358204617,0.641795383
1476,1339,200,1.19689997,-0.05653842,-1.116730131,-0.108516022,11.1309009,-0.172583255,-0.250460857,0.686877111,0,0,0.418490298,0.418490298,0.581509702
421,290,200,-1.246004039,1.271571806,1.98183481,1.943414783,21.52802623,0.982461238,-1.069195222,1.58169371,0,0,0.099630643,0.099630643,0.900369357
3308,4086,191,0.926562623,-0.092269995,0.836684296,1.031487195,17.96495565,-1.458600845,-0.545456292,-0.895164204,0,0,0.420376181,0.420376181,0.579623819
3000,4652,200,0.861694725,0.14579051,-0.672871386,0.090348112,12.82953003,0.577021045,-0.512563371,1.182053089,0,0,0.398954388,0.398954388,0.601045612
1775,3273,200,-2.079365584,-1.649513562,2.447951514,-2.695559742,25.27952433,-2.007116078,13.29889573,-1.429727721,0,0,0.107536312,0.107536312,0.892463688
